head-word,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,modern-spelling,part-of-speech,references,reference-link,annotation-id,synonym-in-glossary,antonym-in-glossary,see-also-in-glossary,questions-observations-examples-references,folio,entry-id,entry-heading,editorial-comment,editors-notes,uncertain
Chofrette,chauferette,,"chafing dish (a vessel to hold burning charcoal or other fuel, for heating anything placed upon it, a portable grate)",,chaufferette,n.(f),COT1611 | OED2008,,,,,,,,,,,,
Choppine,,,"unit of measure. A Parisian half-pint, according to Cotgrave ""almost as big as our whole one"" ",,chopine,n.(f),COT1611,,,,,,,,p076v_4,,,,
Ciment,,,cement,,,n.(m),,,,,,,,,,,,,
Cimenter,,,a process to purify metals,,,v.,,,,,,,,,,,,,
Ciment royal,ciment real,,"royal cement (per Cotgrave, an excellent cement, or solder, used by goldsmiths)",,,n.(m),COT1611 | felming1870,,,,,,,,,,,,
Cire,,,wax,,,n.(f),,,,,,Bois de cire,,,,,,,
Cire à esbaucher,,,"modelling wax (the author-practitioner defines it as ""white wax mixed with plenty of ceruse or blanc de plomb""",,,n.(f),,,,,,esbaucher,,156v,,,,,
"Cire, fil de",,,"thread of wax, i.e., a sprue used in casting (the wax sprue forms a channel by which the metal flows into the mold)",,,n.(m),,,,,,filon de cire,,,,,,,
"Cire, filon de",,,"vein of wax, i.e., a sprue used in casting (the wax sprue forms a channel by which the metal flows into the mold) ",,,n.(m),,,,,,fil de cire | filon,,,,,,,
Ciseau,,,chisel or scissors when inflected in plural form,,,n.(m),,,,,,ciselet | chaple | onglet,,,,,,,
Ciseler,,,to chase (to repair the surface of a cast),,,v.,,,,,,reparer,,,p156r_3,,,,
Ciselet,,,small chisel,,,n.(m),,,,,,ciseau,,,,,,,
Ciselet crané,,,"small serrated chisel (a sculptor's tool, also known as gradine or claw chisel)",,ciselet cranté,n.(m),,,,,,,,151v,,,,,
Cistre,,,"cittern, an instrument of the lute family",,,n.(m),OED2008,,,,,,,114r | 114v,,,,,
Civette,,,"civet, a substance taken from the glands of the civet-cat",,,n.(f),COT1611,,,,,,,,,,,,
Clair,cler,1,"clear, of color",,clair,adj.,,,,,,,,,,,,,
Clair,,2,"thin, of a paste",,clair,adj.,DMF2015 ,,,,,esclarcir | coucher cler,,89v,,,,,
Clair,,3,light and clear (as opposed to heavy or dense),,clair,adj.,,,,,,,,117r,,,,,
Clervoise,clairvoise | clairvois | claire-voie,,opening or series of openings,,,n.(f),,,,,,,,20r,,,,,
Clinquant,,,a sheet of gold or gilded metal,,,n.(m),COT1611,,,,,,,,,,,,
Coche,,,notch,,,n.(f),COT1611 | OED2008,,,,,,,,p021r_2,,,,
Cocon,,,cocoon,,,n.(m),COT1611,,,,,,,,,,,,
Coin,,,corner,,coin,n.(m),DMF2015,,,,,,,121r,,,,,
Coing,,,wedge,,coin,n.(m),COT1611,,,,,,,,p021r_2,,,,
coissinet,,,"cushionet, or a small cushion, perhaps a technical term for a goldsmith's cushion",,coussinet,n.(m),DMF2015,,,,,,,,p152v_1,,,,
Colet,,,collar,,collet,n.(m),COT1611,,,,,,,,,,,,
Colle à destrempe,,,distemper glue,,,n.(f),,,ann_042_sp_16,,,,,3v,,,,PHS decide?,
Colle de farine,,,"flour glue (made of wheat flour, also known as stationer's paste)",,,n.(f),COT1611,,,,,,,74r,,,,,
Colle de menuisier,,,joiner's glue,,,n.(f),COT1611,,,,,,,,,,,,
Colle de paste,,,"paste glue, also known as paste, wheatpaste, or flour paste",,,n.(f),,,,,,,,29r,,,,,
Colle de poisson,,,"fish glue (also known as mouth glue or water glue, since is can be moistened and made adhesive by wetting with the mouth)",,,n.(f),COT1611,,,,,,,165r,,,,"also ""isinglass"" in EN",
Colle de retaille,,,"hide glue (glue made from collagen-containing remains of four-footed animals, esp. the skin)",,,n.(f),bertrand1768,,,,,,,,,,,hooves in hide glue? review,
Colle forte,,,"strong glue (probably made from collagen-containing remains of four-footed animals, e.g. skins, hooves etc.)",,,n.(f),,,,,,,,,,,,,
Colloquer,,,to place,,,v.,DMF2015,,,,,,,,,,,,
Colombin,,,columbine (a red-violet color similar to the neck of a pigeon),,,adj.,OED2008 | TLFi2019,,,,,,,,,,,,
Colophoine,colophonie,,"colophony (solid residue left in the distillation of resin). On 3v, defined also as pix graeca",,,n.(m),,,,,,resine,,3v,,,,,
Combien que,,,although,,,advp.,,,,,,,,,,,,,
Comme,,1,"as, somewhat, like",,,adv.,,,,,,,,121r,,,,,
Comme,,2,when,,,adv.,godefroy1971,,,,,,,,p097r_2,,,,
Compaction,,,compactness,,,n.(f),,,,,,,,,,,,,
Composition,,,"confection, composition",,,n.(f),,,,,,,,,p118r_3,,,,
Compte arresté,,,balanced acount,,,n.(m),boyer1727,,,,,,,,,,,,
Conduict,,,conduit,,conduit,n.(m),COT1611,,,,,,,,,,,,
Connil,,,rabbit,Occitan,,n.(m),,,,,,,,,,,,,
Consolida major,,,another name for comfrey (<i>Symphytum officinale</i>),Latin,,n.(f),vaillant1743,,,,,,,,,,,EN name?,
Contrefaire,,,"to counterfeit (to mimic a material using a different material, e.g. counterfeit jasper made from horn; the author-practitioner distinguishes this term from <i>imiter</i>, which he uses to mean making a representation of a thing, e.g. a rose from horn shavings)",,,v.,,,ann_045_fa_16,,,imiter,,10r,,,,,
Contretirer,,,to counterproof,,,v.,TLFi2019,,,,,,,51r,,,,,
Copelle,,1,"cupel (a small flat circular porous vessel with a shallow depression in the middle made of pounded bone ash, pressed into shape by a mold, and used in assaying gold and silver with lead)",,coupelle,n.(f),OED2008 ,,,,,,,,,,,,
Copelle,,2,a similarly-shaped moveable hearth of the reverberatory furnace in which silver is separated from lead cupellation,,coupelle,n.(f),OED2008 ,,,,,,,164r,,,,revise,
Coquille,,1,shell,,,n.(f),COT1611 ,,,,,,,,,,,,
Coquille,,2,"shell (i.e., a measure containing five spoonfuls)",,,,COT1611,,,,,,,,,,,,
"Coquille, or en",,,"gold ground into microscopic particles from pulverised gold leaf, ground in a mortar with honey or gum water; see guineau2014, <i>Glossaire des matériaux de la couleur et des termes techniques employés dans les recettes de couleurs anciennes</i>, Brepols, 2005. p. 519.",,,n.(m),guineau2014,,,,,,,,,,,,
Cormier,,,service tree (<i>Sorbus domestica</i>),,,n.(m),,,,,,,,,,,,,
Cornaline,,,a semi-precious stone of a red hue; what it is precisely in modern terms is unclear,,,n.(f),COT1611,,,,,,,,,,,,
Corne,,,"horn (a translucent material, most likely bovine horn in the context of Ms. Fr. 640, which grows in layers that can be split into thinner sheets)",,,n.(f),,,,,,,,,,,,,
Corniche,,,"cornicle, small horn",,,n.(f),scheler1873,,,,,,,,,,,,
Cornue,,,retort (for distillation),,,n.(f),COT1611,,,,,,,,,,,,
Corps,,1,body,,,n.(m),,,,,,,,,,,,,
Corps,,2,opacity,,,n.(m),,,,,,,,169v,,,,,
Corps,,3,thickness,,,n.(m),,,,,,,,65r,,,,,
Corps de cuirasse,,,breastplate,,,n.(m),,,,,,,,,,,,,
Corroyer,,,to curry (steel),,,v.,OED2008,,,,,,,50v,,,,,
Corroyeur,courroyeur,,currier (one whose trade is the dressing and colouring of leather after it is tanned),,corroyeur,n.(m),COT1611,,,,,,,,,,,,
Cotton,,,"general wadding or stuffing material; in rare instances, the cotton plant itself",,,n.(m),,,,,,,,,,,,,
Couche,,,"layer, coat (of paint, varnish, etc.)",,,n.(f),,,,,,,,,,,,,
Coucher,,,"to coat, to layer",,,v.,,,,,,,,,,,,,
Couler,,,"to pour, to run through, sometimes in the sense of strain of filter",,,v.,,,,,,,,11r,,,,,
Couleur,coleur,1,color,,,n.(f),,,,,,,,,,,,,
Couleur,,2,"a substance to make metals flow more easily, a flux or liquefier (from French <i>couler</i>, ""to run"")",,,n.(f),,,,,,,,,,,,,
Couleuvrine,coleuvrine,,culverin (a type of gun),,,n.(f),COT1611 | OED2008,,,,,,,,,,,,
Couleuvrine bastarde,,,bastard culverin (gun weighing 35 quintals and armed with a 25 pounds cannonball),,couleuvrine bâtarde,n.(f),OED2008 | smith1628,,,,,,,,,,,,
Coup,,,"shot, of artillery",,,n.(m),,,,,,,,,,,,,
Couperose,copperouse | copperoze,,"copperas, protosulphates of copper, iron and zinc, distinguished as blue, green, and white copperas respectively. Etymologically it belonged properly to the copper salt, but in English use, when undistinguished by attribute or context, it has always been most commonly, and is now exclusively, applied to green copperas, the proto-sulphate of iron or ferrous sulphate, also called green vitriol, used in dyeing, tanning, and making ink",,couperose,n.(f),,,,,,,,,,,,,
Courre,,,"to run (colour, molten metal, etc.)",,courir,v.,,,,,,,,,,,,,
Courtine,,,curtain wall (fortification),,,n.(f),OED2008,,,,,,,25r,,,,,
Coux,queux,,sharpening stone,,,n.(f),Hug,,,,,,,,,,,,
Cramoisi,,,crimson,,,adj.,COT1611,,,,,,,,,,,,
Crampons,,,clamps (used to hold molds together),,,,,,,,,,,,,,,,
Crapaudine,,,"toadstone (petrified tooth of the earless seal, originally thought to come from the head of the toad; it was used as a precious stone, and to detect the presence of poison)",,,n.(f),DMF2015,,,,,,,13v,,,,,
Crasse,,,filth (possibly the scale resulting from excessive heat when melting metal),,,n.(f),,,,,,,,,,,,,
Crespe,,,crêpe (fabric),,crêpe,n.(m),DMF2015,,,,,,,,p021r_2,,,,
Creuset,creuseau,,crucible,,,n.(m),COT1611,,,,,,,,,,,,
Creux,,,hollow,,,adj.,,,,,,,,,,,,,
Crever,,,to burst,,,v.,,,,,,,,,,,,,
Crible,,,sieve,,,n.(m),COT1611,,,,,,,,p054v_1,,,,
Cristallin,,,"Imported clear cristallo glass from Venice, or a generic term for a more common clear glass known as <i>vitrum blanchum</i>.",,,n.(m),,,,,,,,68r,,,,,
Crocum,,1,saffron,Latin,,n.(m),,,,,,,,,,,,,
Crocum,,2,abbreviation for crocum ferri,Latin,,n.(m),,,,,,crocum ferri,,,,,,,
Crocum ferri,crocum ferry,,"crocus of iron, made by dissolving iron filings in nitric acid or vinegar; used in Ms. Fr. 640 as an additive to mold materials to make the mold stronger and retain heat",Latin,,n.(m),,,,,,,,152v | 148r | 106v,,,,,
Croons,,,"meaning uncertain, possibly a slip of the pen or corruption of <i>crayons</i>",,,n.(m),,,,,,,,,,,,,
Croupir,,,to rest,,,v.,COT1611,,,,,,,,,,,,
Crusol,,,crucible,Occitan,,n.(m),,,,,,creuset,,,,,,,
Cucurme,,,turmeric,,curcuma,n.(m),,,,,,,,,,,,,
Cuirasse,,,"cuirass (a defense for the torso, consisting of breastplate and backplate)",,,n.(f),,,,,,,,,,,,,
Cuire,,,to cook (transform by the action of heat),,,v.,,,,,,chauffer | recuire,,,,,,,
Cuivre franc,,,pure red copper,,,n.(m),gay1974,,,,,rosette,,,,,,,
Cuivre rouge,,,red copper,,,n.(m),,,,,,,,,,,,,
Culasse,,,breech (of a gun),,,n.(f),,https://upload.wikimedia.org/wikipedia/commons/f/fc/Cannoniere_1652.jpg,,,,,,,,,,,
Curieulx,,1,"scrupulous, careful",,curieux,adj.,COT1611,,,,,,,84v,,,,,
Curieusement,,,carefully,,,,,,,,,,,,,,,,
Cussoner,,,to become weeviled (weevil-infested grain),Occitan,,,moreux2000,,,,,,,,p088r_5,,,,
Damasquine,,,damascening,,,n.(f),COT1611,,,,,,,015v,,,,,
Damasser,,,to damask (to apply to a cloth patterns in the style of damask),,,v.,DMF2015,,,,,,,,p015r_a1,,,,
Décrépiter,,,to decrepitate (to calcine or roast a salt or mineral until it no longer crackles in the fire),,,,TLFi2019 | OED2008,,,,,,,,,,,,
Dégouter,,,to drip,,dégoutter,v.,,,,,,,,003r,,,,,
Degraisser,desgraisser,,"to rid of grease or impurities; to degrease, or make lean or clean (as fullers do in fulling cloth)",,dégraisser,v.,COT1611,,,,,,,051v,,,,,
Delayer,,,"to macerate, allay, or soften, by steeping; also to thin",,,v.,COT1611,,,,,,,009v,,,,,
Demi-coulevrine,,,demi-culverin (gun weighing 30 quintals and armed with a 20 pounds cannonball),,,n.(f),OED2008 | smith1628,,,,,,,,,,,,
Denier,,1,"unit of currency (1/12 of a sol, 1/240 of a livre)",,,n.(m),COT1611 | DMF2015 ,,,,,,,,,,,,
Denier,,2,unit of weight (1/785 of a kilogram),,,,COT1611 | DMF2015,,,,,,,,,,,,
Denrrées,,,wares (from denerée ware which has the value of a denier),,denrées,n.(f),TLFi2019,,,,,,,090r,,,,,
Dent,,,"tooth (wolf or dog tooth, used as a tool for burnishing gold and silver)",,,n.(f),,,,,,,,066r | 066v,,,,,
Depainct,,,portrayed,,,p.p.,COT1611,,,,,,,,,,,,
Departement,,,Separation,,,n.(m),COT1611 | TLFi2019,,,,,,,,,,,,
Derechef,derechief,,once again,,derechef,advp.,COT1611 | DMF2015,,,,,,,,,,,,
Desbaucher,,,to disengage,,,v.,,,,,,,,,p021r_2,,,,
Deschausser,,,to lay tree roots bare in the winter; to take off shoes,,déchausser,v.,COT1611,,,,,,,,,,,,
Desdaigner,,,to disregard,,dédaigner,v.,TLFi2019,,,,,,,,,,,,
Desenclouer,,,to unspike (a cannon),,,v.,,,,,,,,,p021v_1,,,,
Desgrusouer ,esgrusouer,,a grinding tool that works on a wheel to polish the inside of pewter dishes and bowls (perhaps a lathe like tool),,,n.(m),,,,,,,,,,,,,
Desjoindre,,,to unjoin (of molds),,,v.,,,,,,,,114v | 117r,,,,,
Deslié,,,"delicate,  thin",,délié,p.p.,,,,,,tenvre,,,,,,,
Desmeller,,,to separate,,démêler,v.,COT1611 | DMF2015,,,,,,,012r,,,,,
"Despouille, être bien en",,,"to release easily 
",,dépouille,n.(f),,,,,,,,,,,,,
Despouiller,,1,"to release (i.e., the mold releasing the cast)",,dépouiller,v.,,,,,,,,,,,,,
Despouiller,,2,to strip (of),,dépouiller,v.,COT1611,,,,,,,,,,,,
Desseicher,deseicher,,to dry out,,desseicher,v.,,,,,,,,,,,,,x
Dessein,desseing,,"design or drawing, e.g., fols. 62r and 131r",,dessin,n.(m),,,,,,,,,,,,,
Destremper,,1,to mix,,,v.,,,,,,,,,,,,,
Destremper,,2,"to temper (i.e., acc. to OED2008, to bring (anything) to a proper or suitable condition, state, or quality, by mingling with something else; to qualify, alloy, or dilute by such mixture or combination. To mix, mingle, blend (ingredients) together, or (one ingredient) with another, in proper proportions. Based on a perception that balance for the proper state of a material or human body should ideally be achieved. ",,,v.,OED2008,,,,,,,,,,,,
Destremper,,3,to dilute,,,v.,,,,,,,,,,,,,
Destremper,,4,"to wet, to soak",,,v.,,,,,,,,,,,,,
Destremper,,5,"to distemper (painting technique that involves a variety of binding media such as egg, glue, size; not to confuse with modern tempera, which refers more narrowly to a technique using egg yolk as the binding medium)",,,v.,,,,,,,,,,,,,
Dextrement,,,nimbly,,,adv,COT1611,,,,,,,,,,,,
Dictam,,,dittany (plant),,,n.(f),,,,,,,,,,,,,
Diligemment,diligement,,diligently,,diligemment,adv,DMF2015,,,,,,,,,,,,
"Discretion, à",,,"at discretion, as much as is needed",,,advp.,,,,,,,,,,,,,
Doreure,,,gilding,,dorure,n.(f),,,,,,,,66r,,,,,
Doublet,,,a jewel made of two pieces joined together,,,n.(m),COT1611,,,,,,,,,,,,
Douille,,,socket,,,n.(f),COT1611,,,,,,,,,,,,
Doulcement,,,"gently, slowly, softly, sweetly",,doucement,adv.,,,,,,,,,,,,,
Doulx,douls | doux | dous,1,"soft, malleable (of metals)",,doux,adj.,,,,,aigre,,,,,,,,
Doulx,,2,smooth (of sand),,doux,adj.,,,,,rude,,,153v,,,,,
Doulx,,3,"sweet (of wine, foods, metals)",,doux,adj.,,,,,,,,,,,,,
Dour,,,"measurement unit, a hands breadth, or the breadth of four fingers",,dor,n.(m),COT1611,,p040v_4,,,,,,,,,,
Douzain,,,early modern French currency unit,,,n.(m),,,,,,,,,,,,,
Dragée,,1,hail shot,,,n.(f),COT1611 ,,,,,,,,,,,,
Dragée,,2,sweetmeats,,,n.(f),COT1611,,,,,,,,,,,,
Drageon,,,piece of shot,,,n.(m),,,p045r_1,,,,,,,,,,
Drap,,,cloth,,,n.(m),,,,,,,,,,,,,
Drogue,,,"drug, any substance used as an ingredient in various making processes",,,n.(f),,,,,,,,,,,,,
Ductible,,,ductile,,,adj.,COT1611 | OED2008,,p016r_1,,,,,,,,,,
Eau d’alum,,,water of alum,,eau d’alun,n.(f),,,,,,,,,,,,,
Eau d’amydon,,,starch water,,eau d’amidon,n.(f),,,,,,,,,,,,,
Eau de roche,,,"rock water (the author-practitioner defines this term on 11r: <i>eau de roche, qu’ilz appellent, c’est une eau distillée des mines où l’azur ou vert d’azur se trouve, qui naturellement distille par les veines de la montaigne ou qui est par alambic distillée par des pierres mineralles d’azur ou cuivre</i> – ""it is a water distilled from mines where azure or vert d'azur is found, which distills naturally through the veins of the mountain or is distilled through an alembic from mineral stones of azure or copper."") ",,,n.(f),,,,,,,,,,,,,
Eau de sel armoniac,,,sal ammoniac water,,,n.(f),,,,,,,,,,,,,
Eau de vie,eau de vye | eau de viye,,"eau-de-vie, i.e., distilled wine, such as brandy, or spirits",,eau-de-vie,n.(f),,,,,,,,,,,,,
Eau fort,,,aquafortis,,eau-forte,n.(f),,,,,,,,,,,,,
Eau gommée,,,gum water,,eau gommée,n.(f),,,,,,,,,,,,,
Eau panée,,,water in which bread has been boiled,,,n.(f),TLFi2019,,,,,,,,,,,,
Eau regale,,,"aqua regia (""royal water,"" thus called because of its ability to corrode gold)",Latin,,n. (f),OED2008,,,,,,,,,,,,
Eau sel,,,salt water,,,n.(f),bauderon1681,https://books.google.fr/books?id=1rIwo3x71oQC&pg=PA14&dq=%22eau+sel%22&hl=fr&sa=X&ved=0ahUKEwit1J-M4pvcAhUBuxQKHTgbAUY4FBDoAQgsMAE#v=onepage&q=%22eau%20sel%22&f=false,,,,,,,,,,,
Electre,,,"electrum (an alloy of gold and silver thought to have occult properties, such as protection from poison)",,,n.(m),OED2008 | Khunrath1597,,,,,,,,149r_2,,,,
"Emboire, s'",embeu (p.p.) | imbeu (p.p.),,"to imbibe (to be absorbed, soak in)",,s’imbiber,v.,,,,"embrever, s'",,,,,,,,,
Embraser,,,to set ablaze,,,v.,,,,,,,,,,,,,
"Embrever, s'",embreuver,,"to imbibe (to be absorbed, soak in)",,,v.,,,,"emboire, s'",,,,,,,,,
Emmancher,,,to helve (set on a haft or handle),,,v.,COT1611 | OED2008,,,,,,,,,,,,
Empan,pan,,"a measurement equivalent to a handspan, c. 25 cm",,,n.(m),DMF2015,,,,,,,,,,,,
Emplastre,,,plaster,,emplâtre,n.(m),,,,,,,,,,,,,
Empraindre,,,to imprint,,empreindre,v.,COT1611,,,,,,,,,,,,
Empraint,,,imprint,,empreinte,n.(m),,,,,,,,,,,,,
Enchasser,,,"to set (mirrors, jewels etc.)",,,v.,,,,,,,,,,,,,
Enclume,,,anvil,,,n.(f),COT1611,,,,,,,,,,,,
Encoché,,,"grooved, notched",,,adj.,,,,,,,,,,,,,
Encocher,,1,to notch,,,v.,,,,,,,,,,,,,
Encocher,,2,to slot (something into a groove or notch),,,v.,,,,,,,,,,,,,
Encocheure,,,notch,,,n.(f),COT1611,,,,,,,,,,,,
Enlasser,,,to clasp (hands),,,v.,,,,,,,,,,,,,
Enleveure,,,swelling,,,n.(f),COT1611,,,,,,,,,,,,
Enlumineure,,,illumination,,enluminure,n.(f),,,,,,,,,,,,,
"Enssus, à l’ ",,,"on the top, upwards",Occitan,,advp.,doujat1974,https://books.google.fr/books?id=RNfsWxsOtx8C&pg=PA99&lpg=PA99&dq=%22%C3%A0+l%27ensus%22&source=bl&ots=Oeg8mwZW7J&sig=V3lsvIRC9mYH1s9ai839BLtwuzQ&hl=fr&sa=X&ved=0ahUKEwijzs3Oro_cAhWC7xQKHWmcAAMQ6AEIKjAA#v=onepage&q&f=false,,,,,,94v,,,,,
Entailleures,,,scorings,,,n.(f),,,,,,,,137v,,,,,
enter,hanter,,to graft,,enter,v,,,,greffer,,,,,,,,,
Entredeulx,entredeux | entre deulx,,the space between or middle part,,entre-deux,n.(m),,,,,,,,"144v, 146v, 150v",,,,,
Entremesler,,,to intermix,,,v.,,,,,,,,,,,,,
"Enveler, s'",,,to warp,Poitevin (Saintongeais),,v.,jonain1869,,,,,,,84r,,,,,
Equipage,,,furniture,,équipage,n.(m),COT1611,,,,,,,25r,,,,,
Esbaucher,,1,to rough out,,ébaucher,v.,COT1611 ,,,,,cire à esbaucher,,,,,,,
Esbaucher,,2,to model (wax),,ébaucher,v.,,,,,,,,,,,,,
Escaille,,1,shale,,écaille,n.(f),COT1611 ,,,,,,,31v,,,,,
Escaille,,2,"scale, especially in metal working. The scales that form as a blacksmith hammers iron, which fall to the floor of the forge, and are used in diverse processes",,écaille,n.(f),COT1611,,,,,noir d'escaille,,,,,,,
Escailler,,,to flake off,,écailler,v.,,,,,,,,,,,,,
Escarlate,,,"scarlet (in both French and English, this was usually a rich red color but could refer to other colors. Could also refer to cloth of this color, usually of a very high quality, and worn ceremonially by high-ranking officials)",,écarlate,n.(f),COT1611 | OED2008,,,,,Pastel d’escarlate,,,,,,,
Eschancrer,,,to hollow out ,,,v.,COT1611,,,,,,,43v,,,,,
Eschervis,,,skirret (a root vegetable),,chervis,n.(m),COT1611 | godefroy1971,,,,,,,,,,,,
Esclarcir,,1,to clarify (a color),,éclaircir,v.,COT1611 ,,,,,,,,,,,,
Esclarcir,,2,to thin (a substance),,,v.,,,,,,,,,,,,,
"Esclatter, s'",,,"to break, to burst, to crack",,éclater,v.,,,,,,,,,,,,,
Escrouir,,,"hammering process aimed at making metals harder and denser. Often translated in English as ""hammer-hardening""",,écrouir,v.,furetiere1687 | OED2008 | fleming1870,,,,,,,,,,,,x
Escu,,,écu (a silver or gold coin),,écu,n.(m),OED2008,,,,,,,,,,,,
Escuelle,,,bowl,,écuelle,n.(f),,,,,,,,,,,,,
Escusson,escuson,1,quillon block (part of the hilt of a sword),,écusson,n.(m),,,,,,,,,,,,,
Escusson,,2,"escutcheon (shield or lozenge shape, especially a mark on a cannon which may indicate the powder charge)",,écusson,n.(m),,,,,,,,,,,,,
Escusson,,3,<i>hanter en escusson</i> = shield grafting (a method of grafting trees),,écusson,n.(m),,,,,,enter,,,,,,,
Esgaier,,,to move freely (a brush),,,v.,DAF2018,,,,,,,,,,,,
Esgratigner,,,to scratch (creating a pattern in satin by a technique akin to pinking),,égratigner,v.,littre1873,,,,,,,,,,,,
Esguiere,,,ewer,,aiguière,n.(f),,,,,,,,,,,,,
Esmail d’azur,esmail azuré,,"a blue pigment, possibly smalt, azurite, or verditer",émail d’azur,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Esmail colombin,,,enamel of a red-violet color similar to the neck of a pigeon,,,n.(m),littre1873,,,,,,,,,,,,
Esmail de gueule,,,gules red enamel (an opaque red enamel; cf. transparent rouge clair enamel),,émail de gueules,n.(m),,,,,,rouge clair,,,,,,,
Esmenuiser,,,to break up,,amenuiser,v.,COT1611,,,,,,,,,,,,
Esmeril,esmery,,emery (hard stone used in powder form for polishing),,émeri,n.(m),OED2008 | browne1672,,,,,,The Magnet attracteth..the Smyris or Emery in powder,,,,,,
Esmier,esmyer | esmietter,,to crumble,,émietter,v.,COT1611,,,,,mie | miette,,,,,,,
Esmotter,,,to harrow,,émotter,v.,,,,,,,,39r,,,,,
Esmoudre,esmouler | esmoulent | esmoulu,,to grind (to sharpen a blade),,,v.,COT1611,,,,,,,,,,,,
Espasier,,,furbisher,Occitan,,n.(m),levy1973,,,,,,,,11v_03,,,,
Espauliere,,,pauldron (a shoulder defense in armor),,épaulière,n.(f),,,,,,,,,,,,,
Espessir,,,to thicken,,épaissir,v.,,,,,,,,,,,,,
Espinette,,,spinet (small keyboard instrument with plucked strings),,épinette,n.(f),,,,,,,,,,,,,
Espingle,,,pin,,épingle,n.(f),,,,,,,,,,,,,
Esprit volatil,,,volatile spirit,,,n.(m),diderot1784,https://books.google.fr/books?id=2NVTAAAAYAAJ&pg=PA96&lpg=PA96&dq=%22esprit+volatil%22&source=bl&ots=Xne7LS2vbI&sig=bnNo5z6l_aOampDV81zDpe7tH6c&hl=fr&sa=X&ei=tXfLU8jWMsPO0QXIlYCoBw&ved=0CDAQ6AEwATgK#v=onepage&q=%22esprit%20volatil%22&f=false,,,,,,,,,,,
Esprouver,,,"to assay, to test",,éprouver,v.,COT1611 | DMF2015,,,,,,,,,p058v_4,,,
Essuyer,,,"to wipe, to dry, to cleanse",,,v.,COT1611,,,,,,,,,,,,
Estaim,estain | estaing,,tin,,étain,n.(m),,,,,,,,,,,,,
Estain de glace,,,looking-glass tin (tin alloy used for backing glass mirrors),,,n.(m),,,,,,,,"75r, 88r, 92r, 110v, 188r",,,,,
Estaindre,,,"to extinguish, to snuff out",,étaindre,v.,COT1611 | DMF2015,,,,,,,,,,,,
Estamer,,,to tin,,étamer,,,,,,,,,,,,,,
Estamière,,,"a little square iron box for melting tin, used by locksmiths, according to the author-practitioner",,,n.(f),,,,,,,,98r,,,,,
Estamine,,1,tammy cloth (used for straining or sieving),,étamine,n.(f),COT1611,,,,,tamis,,,,,,,
Estamine,,2,tammy (fabric),,,n.(f),,,,,,,,,p044v_1,,,,
Estampe,,,"impression, imprint, ""stamping,"" i.e., stamped ornament",,,n.(f),,,,,,,,,,,,,
Estandre,estendre,,to spread,,étendre,v.,COT1611,,,,,,,,,p013v_1,,,
Estelle,estoile,,thin laths usually made of beech wood traditionally used to make sword sheaths,,attelle,n.(f),TLFi2019,,,,,,,,,,,,
Estoc,,,vise,Occitan,étau,n.(m),littre1873,,,,,,,,,,,,
Estoffe,,,stuff (fabric),,étoffe,n.(f),,,,,,,,,,,,,
Estoffer,,,to decorate,,étoffer,v.,,,,,,,,29r,,,,,
Estonnement,,,fracas,,,n.(m),,,,,,,,,p022v_1,,,,
Estonner,,,to shake loose,,étonner,v.,DMF2015,,,,,,,81v,,,,,
Estoupe,,,"tow (fiber of flax, hemp, or jute, prepared for spinning by some process of scutching)",,étoupe,v.,OED2008,,,,,,,,,,,,
Estouper,,,to stop,,étouper,v.,COT1611,,,,,,,,,,,,
Esventer,,,to vent,,éventer,v.,,,,,,,,,p029v_6,,,,
Experimenter,,,to experiment or experience,,,v.,,,,,,,,85v,,,,,
Faire manger,,,to eat away (to corrode),,,v.,,,,,,,,,,,,,
Faisse,,,dregs,,fèce,n.(f),,,,,,,,99v,,,,,
Fantasie,,,a fancy,,fantaisie,n.(f),,,,,,,,120r,,,,,
"Fantasie, à ta",,,as you fancy,,fantaisie,n.(f),,,,,,,,,,,,,
Fantasque,,,fanciful,,,adj.,,,,,,,,118r,,,,,
Faulcée,,,"breach (made by an explosive, e.g. a petard)",,,n.(f),,,,,,,,,,,,,
"Faulcée, faire",,,"to penetrate, to pierce",,,v.,,,,,,,,,,,,,
Faulconeau,,,"falconet (according to the author-practitioner, a cannon 10 pans long weighing four quintals, with shot weighing 1.25 lb, and a powder charge of half a lb)",,fauconneau,,OED2008 | smith1628,,,,,,,,,,,,
Faulfiler,,,to baste (i.e. to sew on loosely),,faufiler,v.,DMF2015 | TLFi2019,http://cnrtl.fr/definition/faufiler,,,,,,,,,,,
Fayan,fayant,,beech tree,,,n.(m),COT1611,,,,,,,,,,,,
Fer,,,iron,,,n.(m),,,,,,,,,,,,,
Fer blanc,,,"Meaning uncertain, possibly white latten",,,n.(m),COT1611,,,,,,,,,,,,x
Fer de barre,,,ingot iron,,,n.(m),,,,,,,,,,,,,
Fer doux,,,"""soft"" iron (as opposed to <i>aigre</i> i.e. ""brittle"")",,,n.(m),OED2008,,,,,doux | aigre,,,,,,,
