 pastel woad flowers|001r||p001r_1
 embers|035r|For making rabbits come out of a burrow|p035r_4
 sulfur|035r|For making rabbits come out of a burrow|p035r_4
 foodstuff|035v|For preventing someone from eating a foodstuff|p035v_1
 calf's foot root|035v|For preventing someone from eating a foodstuff|p035v_1
 arum|035v|For preventing someone from eating a foodstuff|p035v_1
 foodstuff|035v|For preventing someone from eating a foodstuff|p035v_1
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 wooden|035v|For transmuting grain from one vessel to another|p035v_2
 kernels of grain|035v|For transmuting grain from one vessel to another|p035v_2
 starch|035v|For transmuting grain from one vessel to another|p035v_2
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 wooden|035v|For transmuting grain from one vessel to another|p035v_2
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 leather|035v|For transmuting grain from one vessel to another|p035v_2
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 starch|035v|For transmuting grain from one vessel to another|p035v_2
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 white leather|035v|For transmuting grain from one vessel to another|p035v_2
 wood|035v|For transmuting grain from one vessel to another|p035v_2
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 leather|035v|For transmuting grain from one vessel to another|p035v_2
 grain|035v|For transmuting grain from one vessel to another|p035v_2
 leather|035v|For transmuting grain from one vessel to another|p035v_2
 leather|036r|For transmuting a ball into a thimble, cunning|p036r_1
 plain leather, such as cow or morocco|036r|For transmuting a ball into a thimble, cunning|p036r_1
 boxwood|036r|For transmuting a ball into a thimble, cunning|p036r_1
 leather|036r|For transmuting a ball into a thimble, cunning|p036r_1
 leather|036r|For transmuting a ball into a thimble, cunning|p036r_1
 leather|036r|For transmuting a ball into a thimble, cunning|p036r_1
 oribus powder|036r|For transmuting a ball into a thimble, cunning|p036r_1
 leather|036r|For transmuting a ball into a thimble, cunning|p036r_1
 leather|036r|For transmuting a ball into a thimble, cunning|p036r_1
 leather|036r|For transmuting a ball into a thimble, cunning|p036r_1
 metal the bells are made of|036v|Founder|p036v_1
 latten|036v|Founder|p036v_1
 latten|036v|Founder|p036v_1
 Latten|036v|Founder|p036v_1
 calamine|036v|Founder|p036v_1
 wood|036v|Founder|p036v_1
 Glassworkers' glass|036v|Glassworkers' glass|p036v_3
 well-made glass|036v|Glassworkers' glass|p036v_3
 fern ashes|036v|Glassworkers' glass|p036v_3
 pebbles|036v|Glassworkers' glass|p036v_3
 stone|036v|Glassworkers' glass|p036v_3
 iron|036v|Glassworkers' glass|p036v_3
 plate glass|036v|Glassworkers' glass|p036v_3
 saltworth|036v|Glassworkers' glass|p036v_3
 pebbles|036v|Glassworkers' glass|p036v_3
 plate glass|036v|Glassworkers' glass|p036v_3
 glass|036v|Glassworkers' glass|p036v_3
 iron|036v|Glassworkers' glass|p036v_3
 metal|037r|Founder|p037r_1
 tin|037r|Founder|p037r_1
 filth|037r|Founder|p037r_1
 tin|037r|Founder|p037r_1
 copper|037r|Founder|p037r_1
 saltpeter|037r|Founder|p037r_1
 filth|037r|Founder|p037r_1
 metal|037r|Founder|p037r_1
 copper|037r|Founder|p037r_1
 wormwood powder|037r|Medicine for the stomach which heats it and unstops the liver|p037r_2
 capilli veneris syrup|037r|Medicine for the stomach which heats it and unstops the liver|p037r_2
 preserves|037r|Medicine for the stomach which heats it and unstops the liver|p037r_2
 host soaked in wine|037r|Medicine for the stomach which heats it and unstops the liver|p037r_2
 sufficiently tempered wine|037r|Medicine for the stomach which heats it and unstops the liver|p037r_2
 pepper grains|037r|Medicine for the stomach which heats it and unstops the liver|p037r_2
 Foil backings for the gemstones|037r|Foil backings for the gemstones|p037r_3
 iron|037r|Foil backings for the gemstones|p037r_3
 metal|037r|Foil backings for the gemstones|p037r_3
 fresh water|037r|For keeping candles from dripping and making them white|p037r_4
 bran|037r|For keeping candles from dripping and making them white|p037r_4
 flour|037r|For keeping candles from dripping and making them white|p037r_4
 water|037r|For keeping candles from dripping and making them white|p037r_4
 seeds|037v|Gardener|p037v_1
 very fine earth|037v|Gardener|p037v_1
 decoction of wormwood|037v|Gardener|p037v_1
 glass|037v|Glassworker|p037v_2
 gris d'escaille|037v|Glassworker|p037v_2
 clean glass|037v|Glassworker|p037v_2
 noir à huile|037v|Glassworker|p037v_2
 wood|037v|Glassworker|p037v_2
 grease|037v|Glassworker|p037v_2
 grease|037v|Glassworker|p037v_2
 glass|037v|Glassworker|p037v_2
 enamels|037v|Glassworker|p037v_2
 esmail d'azur|037v|Glassworker|p037v_2
 esmail colombin|037v|Glassworker|p037v_2
 rock pieces|037v|Glassworker|p037v_2
 leaded glass|037v|Glassworker|p037v_2
 silver|037v|Glassworker|p037v_2
 sanguine|037v|Glassworker|p037v_2
 noir d'escaille|037v|Glassworker|p037v_2
 light sanguine|037v|Glassworker|p037v_2
 esmail d'azur|037v|Glassworker|p037v_2
 Yellow Amber|037v|Yellow Amber|p037v_3
 pulverized salt|037v|Yellow Amber|p037v_3
 pulverized pumice stone|037v|Yellow Amber|p037v_3
 arène|037v|Yellow Amber|p037v_3
 amber|037v|Yellow Amber|p037v_3
 tripoli from Bretagne|037v|Yellow Amber|p037v_3
 leather|037v|Yellow Amber|p037v_3
 Amber|037v|Yellow Amber|p037v_3
 urine|037v|Yellow Amber|p037v_3
 Sapphire|038r|Sapphire|p038r_1
 sapphires|038r|Sapphire|p038r_1
 gemstones|038r|Sapphire|p038r_1
 taffre|038r|Sapphire|p038r_1
 very clear esmail azuré|038r|Sapphire|p038r_1
 sapphire|038r|Sapphire|p038r_1
 beryl|038r|Sapphire|p038r_1
 Saffron|038r|Saffron|p038r_2
 marigold leaves half-dried, & twisted like a thread|038r|Saffron|p038r_2
 Sapphire|038r|Sapphire|p038r_3
 antique glass|038r|Sapphire|p038r_3
 sapphire|038r|Sapphire|p038r_3
 emery|038r|Sapphire|p038r_3
 sapphires|038r|Sapphire|p038r_3
 esmail d’azur|038r|Sapphire|p038r_3
 silver|038r|Sapphire|p038r_3
 sapphires|038r|Sapphire|p038r_3
 aquamarines|038r|Sapphire|p038r_3
 white glass|038r|Sapphire|p038r_3
 glass|038r|Sapphire|p038r_3
 Amber|038r|Amber|p038r_4
 transparent amber|038r|Amber|p038r_4
 willow|038r|Amber|p038r_4
 soft wood|038r|Amber|p038r_4
 water|038r|Amber|p038r_4
 tripoli of Brittany|038r|Amber|p038r_4
 soot|038r|Amber|p038r_4
 smoke|038r|Amber|p038r_4
 dung|038r|Amber|p038r_4
 bones|038r|Amber|p038r_4
 smoke|038r|Amber|p038r_4
 smoke of safre|038r|Amber|p038r_4
 manganese|038r|Amber|p038r_4
 drugs|038r|Amber|p038r_4
 urine|038r|Amber|p038r_4
 distilled vinegar|038r|Amber|p038r_4
 vapor of aquafortis|038r|Amber|p038r_4
 copper|038r|Amber|p038r_4
 aquafortis|038r|Amber|p038r_4
 silver|038r|Amber|p038r_4
 sal ammoniac|038r|Amber|p038r_4
 amber|038r|Amber|p038r_4
 soft wood|038r|Amber|p038r_4
 potée|038r|Amber|p038r_4
 emery|038r|Amber|p038r_4
 jet|038r|Amber|p038r_4
 salt called de Langlois de armonic|038r|Amber|p038r_4
 mineral salt|038r|Amber|p038r_4
 marble stone|038r|Amber|p038r_4
 lye|038r|Amber|p038r_4
 corrosive water|038r|Amber|p038r_4
 fir|038r|Amber|p038r_4
 soft wood|038r|Amber|p038r_4
 dyeing|038v|Black color for dyeing|p038v_1
 lye of quicklime|038v|Black color for dyeing|p038v_1
 litharge|038v|Black color for dyeing|p038v_1
 dark brown dye|038v|Black color for dyeing|p038v_1
 lye of lime|038v|Black color for dyeing|p038v_1
 dyeing|038v|Against nose bleeding and for dyeing|p038v_2
 sorrel|038v|Against nose bleeding and for dyeing|p038v_2
 lapathum acutum|038v|Against nose bleeding and for dyeing|p038v_2
 dragon’s blood|038v|Against nose bleeding and for dyeing|p038v_2
 dye|038v|Against nose bleeding and for dyeing|p038v_2
 velvet|038v|Merchant|p038v_5
 pastel woad|038v|Merchant|p038v_5
 dye|038v|Scarlets|p038v_6
 cloths|038v|Scarlets|p038v_6
 white cloth|038v|Scarlets|p038v_6
 dyed|038v|Scarlets|p038v_6
 pure scarlet pastel|038v|Scarlets|p038v_6
 cochineal|038v|Scarlets|p038v_6
 Black cloth|038v|Scarlets|p038v_6
 dyeing|038v|Scarlets|p038v_6
 silver filings|039r|Goldsmith|p039r_1
 saltpeter|039r|Goldsmith|p039r_1
 gold filings|039r|Goldsmith|p039r_1
 borax|039r|Goldsmith|p039r_1
 borax|039r|Goldsmith|p039r_1
 lead|039r|Goldsmith|p039r_1
 gold|039r|Goldsmith|p039r_1
 saltpeter|039r|Goldsmith|p039r_1
 silver|039r|Goldsmith|p039r_1
 borax|039r|Goldsmith|p039r_1
 saltpeter|039r|Goldsmith|p039r_1
 silver filings|039r|Goldsmith|p039r_1
 saltpeter|039r|Goldsmith|p039r_1
 red enamel|039r|Goldsmith|p039r_1
 copper|039r|Goldsmith|p039r_1
 silver|039r|Goldsmith|p039r_1
 enamel|039r|Goldsmith|p039r_1
 Pastel woad|039r|Pastel woad|p039r_2
 iron|039r|Pastel woad|p039r_2
 vinegar|039r|Pastel woad|p039r_2
 wool|039r|Pastel woad|p039r_2
 Enamel|039v|Enamel|p039v_1
 Enamel|039v|Enamel|p039v_1
 copper|039v|Enamel|p039v_1
 silver|039v|Enamel|p039v_1
 Azure|039v|Enamel|p039v_1
 enamel|039v|Enamel|p039v_1
 enamelled|039v|Enamel|p039v_1
 Copper|039v|Enamel|p039v_1
 fine silver|039v|Enamel|p039v_1
 pistoletc_039v_01 gold|039v|Enamel|p039v_1
 gold|039v|Enamel|p039v_1
 glass|039v|Colors for illumination on glass|p039v_2
 turpentine|039v|Colors for illumination on glass|p039v_2
 tear of mastic|039v|Colors for illumination on glass|p039v_2
 turpentine|039v|Colors for illumination on glass|p039v_2
 glass|039v|Tracing some history on glass|p039v_3
 glass|039v|Tracing some history on glass|p039v_3
 glass pane|039v|Tracing some history on glass|p039v_3
 glass|039v|Tracing some history on glass|p039v_3
 lye|039v|Tracing some history on glass|p039v_3
 ash|039v|Tracing some history on glass|p039v_3
 noir à huile|039v|Tracing some history on glass|p039v_3
 noir d’escaille|039v|Tracing some history on glass|p039v_3
 glass pane|039v|Tracing some history on glass|p039v_3
 noir d’escaille|039v|Tracing some history on glass|p039v_3
 gilt|039v|Tracing some history on glass|p039v_3
 glass|039v|Tracing some history on glass|p039v_3
 gild|039v|Tracing some history on glass|p039v_3
 glass pane|039v|Tracing some history on glass|p039v_3
 gum water|039v|Tracing some history on glass|p039v_3
 garlic juice|039v|Tracing some history on glass|p039v_3
 milk of the fig tree|039v|Tracing some history on glass|p039v_3
 linen cloths|039v|Tracing some history on glass|p039v_3
 gilt glass|039v|Tracing some history on glass|p039v_3
 gilding of the glass|039v|Tracing some history on glass|p039v_3
 steel|039v|Tracing some history on glass|p039v_3
 argent moulu|039v|Tracing some history on glass|p039v_3
 azur d’esmail|039v|Tracing some history on glass|p039v_3
 verdigris|039v|Tracing some history on glass|p039v_3
 fine laquec_039v_02 platte|039v|Tracing some history on glass|p039v_3
 clear turpentine|039v|Tracing some history on glass|p039v_3
 tear of mastic|039v|Tracing some history on glass|p039v_3
 glass|039v|Tracing some history on glass|p039v_3
 white tin|039v|Tracing some history on glass|p039v_3
 tin|039v|Tracing some history on glass|p039v_3
 tin|039v|Tracing some history on glass|p039v_3
 glass|040r||p039v_3
 turpentine|040r||p039v_3
 glass|040r||p039v_3
 tin|040r||p039v_3
 Dye|040r|Dye|p040r_1
 root of lapathium acutum maius|040r|Dye|p040r_1
 monk’s rhubarb|040r|Dye|p040r_1
 sorrel|040r|Dye|p040r_1
 dye|040r|Dye|p040r_1
 thread|040r|Dye|p040r_1
 Aquafortis|040r|Aquafortis|p040r_2
 aquafortis|040r|Aquafortis|p040r_2
 common water|040r|Aquafortis|p040r_2
 alum|040r|Aquafortis|p040r_2
 water|040r|Aquafortis|p040r_2
 alum|040r|Aquafortis|p040r_2
 Vinegar|040r|Vinegar|p040r_3
 mineral salt|040r|Vinegar|p040r_3
 marble|040r|Vinegar|p040r_3
 Cardona salt|040r|Vinegar|p040r_3
 wine|040r|Vinegar|p040r_3
 very good vinegar|040r|Vinegar|p040r_3
 water|040r|Vinegar|p040r_3
 pomace soured|040r|Vinegar|p040r_3
 vermeilles|040r|Buttons of vermeilles|p040r_4
 vermeilles|040r|Buttons of vermeilles|p040r_4
 paste of ground enamel|040r|Buttons of vermeilles|p040r_4
 gilds|040r|Buttons of vermeilles|p040r_4
 enamel|040r|Buttons of vermeilles|p040r_4
 gold leaf|040r|Buttons of vermeilles|p040r_4
 thick parchment|040r|Grottos|p040r_5
 distemper|040r|Grottos|p040r_5
 oil|040r|Grottos|p040r_5
 rouge clair|040v|Cross of the commanders of Malta|p040v_1
 enamel|040v|Cross of the commanders of Malta|p040v_1
 dragon's blood|040v|Cross of the commanders of Malta|p040v_1
 eau-de-vie|040v|Cross of the commanders of Malta|p040v_1
 Indian laque plate|040v|Cross of the commanders of Malta|p040v_1
 clear turpentine|040v|Cross of the commanders of Malta|p040v_1
 mastic|040v|Cross of the commanders of Malta|p040v_1
 silver|040v|Cross of the commanders of Malta|p040v_1
 gemstone foils|040v|Cross of the commanders of Malta|p040v_1
 Latten|040v|Latten and calamine|p040v_2
 calamine|040v|Latten and calamine|p040v_2
 latten|040v|Latten and calamine|p040v_2
 charcoals|040v|Latten and calamine|p040v_2
 calamine|040v|Latten and calamine|p040v_2
 Metal|040v|Metal|p040v_3
 Tin|040v|Metal|p040v_3
 lead|040v|Metal|p040v_3
 smoke|040v|Metal|p040v_3
 tin|040v|Metal|p040v_3
 cendrée|040v|Metal|p040v_3
 Aquafortis|040v|Aquafortis|p040v_4
 luted|040v|Aquafortis|p040v_4
 ashes|040v|Aquafortis|p040v_4
 spirits|040v|Aquafortis|p040v_4
 smoke|040v|Aquafortis|p040v_4
 Earth for casting, for founders|041r|Earth for casting, for founders|p041r_1
 horse dung|041r|Earth for casting, for founders|p041r_1
 Potter's earth|041r|Earth for casting, for founders|p041r_1
 sand|041r|Earth for casting, for founders|p041r_1
 horse dung|041r|Earth for casting, for founders|p041r_1
 dung|041r|Earth for casting, for founders|p041r_1
 earth|041r|Earth for casting, for founders|p041r_1
 straw|041r|Earth for casting, for founders|p041r_1
 earth|041r|Earth for casting, for founders|p041r_1
 sand|041r|Earth for casting, for founders|p041r_1
 dung|041r|Earth for casting, for founders|p041r_1
 earth|041r|Earth for casting, for founders|p041r_1
 sand|041r|Earth for casting, for founders|p041r_1
 earths|041r|Earth for casting, for founders|p041r_1
 sand|041r|Sand|p041r_03
 in nature|041r|Sand|p041r_03
 fat earth|041r|Sand|p041r_03
 sand|041r|Sand|p041r_03
 brick well ground|041r|Sand|p041r_03
 marble|041r|Sand|p041r_03
 plaster|041r|Sand|p041r_03
 calcinated alabaster|041r|Sand|p041r_03
 burned marrow of ox horn|041r|Sand|p041r_03
 burned asphalt|041r|Sand|p041r_03
 porphyry|041r|Sand|p041r_03
 asphalt|041r|Sand|p041r_03
 tripoli|041r|Sand|p041r_03
 bread|041r|Sand|p041r_03
 sand|041r|Sand|p041r_03
 soot black|041r|Sand|p041r_03
 boiled millet grains|041r|Ducks|p041r_04
 bread|041r|Ducks|p041r_04
 well chopped lettuces|041r|Ducks|p041r_04
 black|041v|Glassworkers' black|p041v_1
 Iron scale|041v|Glassworkers' black|p041v_1
 the common delicate kind that falls under the anvil|041v|Glassworkers' black|p041v_1
 niello|041v|Glassworkers' black|p041v_1
 black|041v|Glassworkers' black|p041v_1
 minium|041v|Glassworkers' black|p041v_1
 dung of the ewe|041v|Sheared ewes|p041v_2
 gilding|041v|Colors and gilding on glass|p041v_3
 glass|041v|Colors and gilding on glass|p041v_3
 gum water|041v|Colors and gilding on glass|p041v_3
 glass|041v|Colors and gilding on glass|p041v_3
 gold|041v|Colors and gilding on glass|p041v_3
 silver|041v|Colors and gilding on glass|p041v_3
 gold|041v|Colors and gilding on glass|p041v_3
 silver|041v|Colors and gilding on glass|p041v_3
 gold|041v|Colors and gilding on glass|p041v_3
 silver|041v|Colors and gilding on glass|p041v_3
 gum|041v|Colors and gilding on glass|p041v_3
 silver|041v|Colors and gilding on glass|p041v_3
 glass|041v|Colors and gilding on glass|p041v_3
 gum|041v|Colors and gilding on glass|p041v_3
 gum|041v|Colors and gilding on glass|p041v_3
 paper|041v|Colors and gilding on glass|p041v_3
 gold|041v|Colors and gilding on glass|p041v_3
 gold|041v|Colors and gilding on glass|p041v_3
 saffron|041v|Colors and gilding on glass|p041v_3
 massicot|041v|Colors and gilding on glass|p041v_3
 earth|042r|Founder|p042r_1
 metal|042r|Founder|p042r_1
 charcoal powder|042r|Founder|p042r_1
 Wax|042r|Wax for seal and imprint|p042r_2
 wax|042r|Wax for seal and imprint|p042r_2
 tepid water|042r|Wax for seal and imprint|p042r_2
 wax|042r|Wax for seal and imprint|p042r_2
 water|042r|Wax for seal and imprint|p042r_2
 paper|042r|Wax for seal and imprint|p042r_2
 paper|042r|Wax for seal and imprint|p042r_2
 colors in varnish|042r|Wax for seal and imprint|p042r_2
 glass|042r|Wax for seal and imprint|p042r_2
 colors in turpentine & mastic|042r|Wax for seal and imprint|p042r_2
 gum ammoniac|042r|Wax for seal and imprint|p042r_2
 vinegar|042r|Wax for seal and imprint|p042r_2
 glue|042r|Wax for seal and imprint|p042r_2
 plaster|042r|For casting in plaster|p042r_3
 wax|042r|For casting in plaster|p042r_3
 plaster|042r|For casting in plaster|p042r_3
 wax|042r|For casting in plaster|p042r_3
 plaster|042r|For casting in plaster|p042r_3
 wax|042r|For casting in plaster|p042r_3
 satin|042v|Pounced design for scratching satin|p042v_1
 flour|042v|Pounced design for scratching satin|p042v_1
 ground chalk|042v|Pounced design for scratching satin|p042v_1
 glair|042v|Pounced design for scratching satin|p042v_1
 milk or bark of the fig tree|042v|Pounced design for scratching satin|p042v_1
 water|042v|Pounced design for scratching satin|p042v_1
 glass|042v|Pounced design for scratching satin|p042v_1
 oil|042v|Canvas for painting in oil without breaking|p042v_2
 oil|042v|Canvas for painting in oil without breaking|p042v_2
 honey|042v|Canvas for painting in oil without breaking|p042v_2
 oil|042v|Canvas for painting in oil without breaking|p042v_2
 water|042v|Canvas for painting in oil without breaking|p042v_2
 flour|042v|Canvas for painting in oil without breaking|p042v_2
 oil|042v|Painting inoil on taffetawhich|p042v_3
 taffeta|042v|Painting inoil on taffetawhich|p042v_3
 oil|042v|Painting inoil on taffetawhich|p042v_3
 honey|042v|Painting inoil on taffetawhich|p042v_3
 water of alum|042v|Painting inoil on taffetawhich|p042v_3
 starch water|042v|Painting inoil on taffetawhich|p042v_3
 Sand for casting|042v|Sand for casting|p042v_4
 marble|042v|Sand for casting|p042v_4
 calcined alabaster|042v|Sand for casting|p042v_4
 lake|042v|For outlining a portrait|p042v_5
 olive oil|042v|For outlining a portrait|p042v_5
 White varnish|042v|White varnish on plaster|p042v_6
 plaster|042v|White varnish on plaster|p042v_6
 glue quite white|042v|White varnish on plaster|p042v_6
 varnish of sandarac, spike lavender oil, and a little mastic|042v|White varnish on plaster|p042v_6
 sandarac|042v|White varnish on plaster|p042v_6
 spike lavender oil|042v|White varnish on plaster|p042v_6
 mastic|042v|White varnish on plaster|p042v_6
 oil|042v|White varnish on plaster|p042v_6
 plaster|043r|White bronzing on plaster|p043r_2
 glue|043r|White bronzing on plaster|p043r_2
 plaster|043r|White bronzing on plaster|p043r_2
 Englishminium|043r|White bronzing on plaster|p043r_2
 lead|043r|White bronzing on plaster|p043r_2
 gum|043r|White bronzing on plaster|p043r_2
 glue|043r|White bronzing on plaster|p043r_2
 cotton|043r|White bronzing on plaster|p043r_2
 plaster|043r|White bronzing on plaster|p043r_2
 lead|043r|White bronzing on plaster|p043r_2
 minium|043r|White bronzing on plaster|p043r_2
 quicksilver|043r|White bronzing on plaster|p043r_2
 Purpurine|043r|Purpurine|p043r_3
 tin|043r|Purpurine|p043r_3
 ☿|043r|Purpurine|p043r_3
 porphyry|043r|Purpurine|p043r_3
 sal ammoniac|043r|Purpurine|p043r_3
 sulfur|043r|Purpurine|p043r_3
 glass|043r|Purpurine|p043r_3
 soot black|043r|Purpurine|p043r_3
 glue|043r|Purpurine|p043r_3
 varnish|043r|Purpurine|p043r_3
 purpurine|043r|Purpurine|p043r_3
 varnish|043r|Purpurine|p043r_3
 glue|043r|White bronzing|p043r_4
 varnish|043r|White bronzing|p043r_4
 mine d'Angleterre|043r|White bronzing|p043r_4
 mine|043r|White bronzing|p043r_4
 lead|043r|White bronzing|p043r_4
 Varied and transmuted wine|043v|Varied and transmuted wine|p043v_1
 brazilwood|043v|Varied and transmuted wine|p043v_1
 clear water|043v|Varied and transmuted wine|p043v_1
 tinted water|043v|Varied and transmuted wine|p043v_1
 clear water|043v|Varied and transmuted wine|p043v_1
 wine|043v|Varied and transmuted wine|p043v_1
 lemon or orange juice|043v|Varied and transmuted wine|p043v_1
 Pearls|043v|Pearls|p043v_2
 pulverised talc|043v|Pearls|p043v_2
 powder|043v|Arquebusier|p043v_3
 powder|043v|Arquebusier|p043v_3
 powder|043v|Arquebusier|p043v_3
 felt|043v|Hail shot of the arquebus|p043v_4
 leather|043v|Hail shot of the arquebus|p043v_4
 paper|043v|Hail shot of the arquebus|p043v_4
 powder|044r|The range of an arquebus|p044r_1
 powder|044r|The range of an arquebus|p044r_1
 lead|044r|Pewterer|p044r_2
 tin|044r|Pewterer|p044r_2
 looking glass tin|044r|Pewterer|p044r_2
 debris|044r|Pewterer|p044r_2
 copper shards that coppersmiths make|044r|Pewterer|p044r_2
 tin|044r|Pewterer|p044r_2
 common tin|044r|Pewterer|p044r_2
 oil|044r|Arquebus|p044r_3
 linen cloth|044r|Arquebus|p044r_3
 oil|044r|Arquebus|p044r_3
 paper|044r|Arquebus|p044r_3
 Lake|044r|Lake|p044r_4
 paper|044r|Lake|p044r_4
 Dyes from flowers|044r|Dyes from flowers|p044r_5
 red poppy|044r|Dyes from flowers|p044r_5
 white leather|044r|Dyes from flowers|p044r_5
 cornflower|044r|Dyes from flowers|p044r_5
 plant which grows in hedges, which has a stem similar to flax, a long & broad leaf like small bugloss, which has a violet flower verging on blue & is shaped like the lily flower|044r|Dyes from flowers|p044r_5
 columbine|044r|Dyes from flowers|p044r_5
 bugloss flower|044r|Dyes from flowers|p044r_5
 pansy|044r|Dyes from flowers|p044r_5
 Horsehair|044v|Horsehair sieves|p044v_1
 horse tail hair|044v|Horsehair sieves|p044v_1
 lye|044v|Horsehair sieves|p044v_1
 hair|044v|Horsehair sieves|p044v_1
 hairs|044v|Horsehair sieves|p044v_1
 hairs|044v|Horsehair sieves|p044v_1
 silk tammy|044v|Horsehair sieves|p044v_1
 water|044v|Excellent water against the plague by Monsieur de Montorsin|p044v_2
 theriac|044v|Excellent water against the plague by Monsieur de Montorsin|p044v_2
 rue|044v|Excellent water against the plague by Monsieur de Montorsin|p044v_2
 dittany|044v|Excellent water against the plague by Monsieur de Montorsin|p044v_2
 good vinegar|044v|Excellent water against the plague by Monsieur de Montorsin|p044v_2
 glass|044v|Excellent water against the plague by Monsieur de Montorsin|p044v_2
 White soporific oil|044v|White soporific oil|p044v_3
 mandrake apples|044v|White soporific oil|p044v_3
 olive oil|044v|White soporific oil|p044v_3
 glass|044v|White soporific oil|p044v_3
 oil|044v|White soporific oil|p044v_3
 Stucco|044v|Stucco|p044v_4
 glueing|044v|Stucco|p044v_4
 stone|044v|Stucco|p044v_4
 resin|044v|Stucco|p044v_4
 black pitch resin|044v|Stucco|p044v_4
 rosin|044v|Stucco|p044v_4
 sulfur|044v|Stucco|p044v_4
 wax|044v|Stucco|p044v_4
 pestled brick|044v|Stucco|p044v_4
 white chalk|044v|Stucco|p044v_4
 pestled & pulverized & sieved white stone|044v|Stucco|p044v_4
 wooden|045r|Loading an arquebus with a hail shot|p045r_1
 strong paper, of the as of large printed books|045r|Loading an arquebus with a hail shot|p045r_1
 paper|045r|Loading an arquebus with a hail shot|p045r_1
 paper|045r|Loading an arquebus with a hail shot|p045r_1
 cardboard|045r|Loading an arquebus with a hail shot|p045r_1
 felt|045r|Loading an arquebus with a hail shot|p045r_1
 waxed cloth|045r|Loading an arquebus with a hail shot|p045r_1
 paper|045r|Loading an arquebus with a hail shot|p045r_1
 cardboard|045r|Loading an arquebus with a hail shot|p045r_1
 waxed cloth|045r|Loading an arquebus with a hail shot|p045r_1
 leather|045r|Loading an arquebus with a hail shot|p045r_1
 felt|045r|Loading an arquebus with a hail shot|p045r_1
 waxed cloth|045r|Loading an arquebus with a hail shot|p045r_1
 waxed cloth|045r|Loading an arquebus with a hail shot|p045r_1
 waxed paper|045r|Loading an arquebus with a hail shot|p045r_1
 waxed cloth|045r|Loading an arquebus with a hail shot|p045r_1
 paper|045r|Loading an arquebus with a hail shot|p045r_1
 powder|045v|Loading an arquebus|p045v_1
 powder|045v|Loading an arquebus|p045v_1
 filth|045v|Loading an arquebus|p045v_1
 oil of sulfur|046r|For the teeth, oil of sulfur|p046r_1
 aquafortis|046r|For the teeth, oil of sulfur|p046r_1
 oil of sulfur|046r|For the teeth, oil of sulfur|p046r_1
 clove oil|046r|For the teeth, oil of sulfur|p046r_1
 rose honey|046r|For the teeth, oil of sulfur|p046r_1
 oil of sulfur|046r|For the teeth, oil of sulfur|p046r_1
 cotton|046r|For the teeth, oil of sulfur|p046r_1
 oils|046r|For the teeth, oil of sulfur|p046r_1
 tepid water|046r|For the teeth, oil of sulfur|p046r_1
 Oil of sulfur|046r|For the teeth, oil of sulfur|p046r_1
 clove oil|046r|For the teeth, oil of sulfur|p046r_1
 rose honey|046r|For the teeth, oil of sulfur|p046r_1
 Wheat oil|046r|Wheat oil|p046r_2
 fresh crow eggs|046r|Against the falling sickness|p046r_3
 powdered gentian|046r|Against the falling sickness|p046r_3
 oil of sulfur|046r|Against the falling sickness|p046r_3
 Oil of guaiac & of sulfur|046r|Against cold gouts|p046r_4
 Oil of sulfur|046v|Scribe, Oil of sulfur|p046v_1
 ink|046v|Scribe, Oil of sulfur|p046v_1
 oil of sulfur|046v|Scribe, Oil of sulfur|p046v_1
 black leather|046v|Shoemaker|p046v_2
 oil of sulfur|046v|Shoemaker|p046v_2
 fresh & good oil of sulfur|046v|Erasing a letter|p046v_3
 parchment|046v|Erasing a letter|p046v_3
 ink|046v|Writing without ink|p046v_4
 oil of sulfur|046v|Writing without ink|p046v_4
 paper|046v|Making letters à jour on paper and other work|p046v_5
 paper|046v|Making letters à jour on paper and other work|p046v_5
 oil of sulfur|046v|Making someone's boots burn|p046v_6
 stone|046v|On stone, black letters|p046v_7
 oil of sulfur|046v|On stone, black letters|p046v_7
 stone|046v|On stone, black letters|p046v_7
 Sal ammoniac|047r|For teeth|p047r_1
 rock salt|047r|For teeth|p047r_1
 alum|047r|For teeth|p047r_1
 water|047r|For teeth|p047r_1
 rose honey|047r|For teeth|p047r_1
 cinnamon or clove oil|047r|For teeth|p047r_1
 Antimony oil|047r|Antimony oil|p047r_2
 silver|047r|Antimony oil|p047r_2
 root of peony|047r|Against falling sickness or vertigo|p047r_3
 grès|047r|Crucibles|p047r_4
 charcoal|047r|Crucibles|p047r_4
 gold|047r|Crucibles|p047r_4
 silver|047r|Crucibles|p047r_4
 silver|047r|Crucibles|p047r_4
 laveures|047r|Crucibles|p047r_4
 preserve of symphytum|047r|Against diarrhea and dysentery|p047r_5
 consolida maior|047r|Against diarrhea and dysentery|p047r_5
 wax oil|047r|Against diarrhea and dysentery|p047r_5
