folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
042v,42v,p042v_6,varnish;painting,White varnish on plaster,,,,,,"White varnish;plaster;quite white glue;varnish of sandarac, spike lavender oil, and a little mastic;sandarac;spike lavender oil;mastic;oil",,coats,,spike lavender,,,,,vessel;pestled;paintbrush,in the evening,,,,,,,
043r,43r,p043r_1,cultivation,Mericotons and pavis,,,,,,,,,,Mericotons;pavis,,,,,,Advent of Christmas,,,,,,,
043r,43r,p043r_2,painting;varnish,White bronzing on plaster,,,,,,plaster;painters’ distemper glue;plaster;minium from England ;marble;lead;gum;glue;cotton;plaster;lead;minium;quicksilver,,,,,England,,painters,,marble,,,,,,,,
043r,43r,p043r_3,painting;metal process;varnish,Purple,,ditto,,,,Purple;stagno;☿;porfidio;sal armoniaco;solfo;vetro;negro di resina;colla;vernice;purpurina;vernice,,meza onça;℥;℥;℥;hora;hora;hora,,,,,pintori,,cochiaro;sublimatorio di vetro;ditto,hora;hora;hora,,,,"℞ stagno dolce, meza onça, farlo fondere in un cochiaro.          Depoi fonduto, gectarly dentro una ℥ de ☿, mesedar insieme.          Essendo freddo, macinar supra il porfidio. Dapoi piglia          una ℥ de sal armoniaco, una ℥ de solfo del più giallo          que se possa troval, macinar tutti duoi. Et poi mesedar          molto bene tutti gli matteriali sopradetti. Dapoi metter tutto          insieme dentro un <-a pignatta-> sublimatorio di vetro, tenerlo          sopra picciol fuoco una hora & una hora un poco piu forte          & una hora bonissimo fuoco, et sarà fatto. Dapoi, per          adoper{ar}la, datte il negro di resina con colla di pintori da          pintar <-&-> per doi o tre volte, fin a tanto che sia ben negro.          Dapoi datte un poco di vernice. Essendo secco, datte a secco con          ditto la purpurina dove vorrette. Tanto più ne darette, sarà          piu bello. Dapoi, si volete, datte vernice sopra",,,
043r,43r,p043r_4,painting,White bronzing,,finger,,,,glue;varnish;minium from England;minium;lead,,,,,England,,,,paintbrush;finger,,,,,,,,
043v,43v,p043v_1,tricks and sleight of hand,Varied and transmuted wine,,,,,,Varied and transmuted wine;brazilwood;clear water;tinted water;clear water;wine;lemon or orange juice,,hours;drop,,brazilwood;lemon;orange,,,,,,hours,,,,,,,
043v,43v,p043v_2,stones,Pearls,,,,,,Pearls;pulverized talc,,,,,,,,,lamp,,,,,,,,
043v,43v,p043v_3,arms and armor,Arquebusier,,,,,,powder;powder;powder,,line,,,,,Arquebusier,,,,arquebus;chambered arquebus,,,,,,
043v,43v,p043v_4,arms and armor,Hail shot of the arquebus,,,,,,felt;leather;paper,,,,,,,,,cutting-punch,,arquebus;arquebus,,,,,,
044r,44r,p044r_1,arms and armor,The range of an arquebus,,,deniers;deniers;deniers;deniers,,,powder;powder,,king’s feet;deniers;deniers;pans;feet;inches;lines;Paris aulne;deniers;deniers;paces,,,Paris,,,,,,arquebus;fowling piece;hackbut,,,,,,
044r,44r,p044r_2,casting,Pewterer,,,,,cities where they are sworn masters,lead;tin;looking-glass tin;debris;copper shards that coppersmiths make;tin;common tin,,lb;quintal;lb;lb,,,,,Pewterer;sworn masters;coppersmiths,sonorous,,,,,,,,,
044r,44r,p044r_3,arms and armor,Arquebus,,,,,,oil;linen cloth;oil;paper,,every eight days,,,,,,,,,Arquebus;arquebus,,,,,,
044r,44r,p044r_4,painting,Lake,,,,,,Lake;paper,,hours,,,,,,,,hours,,,,,,,
044r,44r,p044r_5,dyeing,Dyes from flowers,,,,,,"Dyes from flowers;red poppy;white leather;cornflower;plant which grows in hedges, which has a stem similar to flax, a long & broad leaf like small bugloss, which has a violet flower verging on blue & is shaped like the lily flower;columbine;bugloss flower;pansy",,,,red poppy;grains;cornflower;flax;bugloss;lily flower;columbine;bugloss;pansy;grains,,,,,,,,,,,,,cornflower
044v,44v,p044v_1,tool,Horsehair sieves,Horse;horse,mouth;fingers,sous,,,Horsehair;horse tail hair;lye;hair;hairs;hairs;silk tammy,,fingers wide;dozen;sous,,,Coustance;Normandy;Toulouse;Spain,,,,mouth;reed;reed;small flat stick,,,,,,,,
044v,44v,p044v_2,medicine,Excellent water against the plague of Monsieur de Montorsin,,,,,,water;theriac;rue;dittany;good vinegar;glass,water against the plague,days,,rue;dittany,,Monsieur de Montorsin,,,glass bottle;flaming red tile,days,,,,,,,
044v,44v,p044v_3,medicine,White soporific oil,,soles of your feet,,,,White soporific oil;mandrake apples;olive oil;glass;oil,White soporific oil;will soon feel like sleeping,days,,mandrake;olive,,,,,vial;glass bottle,days,,,,,,,
044v,44v,p044v_4,stones,Stucco,,,,,,Stucco;glueing;stone;resin;black pitch resin;rosin;sulfur;wax;pestled brick;white chalk;white stone,,as much <-as-> of one as the other,,,,,,,pestled;pestled,,,,,,,,
045r,45r,p045r_1,arms and armor,Loading an arquebus with hail shot,,fingers,,,,"wooden;strong paper, <-of the-> as of large printed books;paper;paper;cardboard;felt;waxed cloth;paper;cardboard;waxed cloth;leather;felt;waxed cloth;waxed cloth;waxed paper;waxed cloth;paper",, long as the width of 4 or 5 fingers;wide as you want to make your cartridge long;paces,,,,,,,baton;pipe;baton;pipe;baton;cutting-punch;baton,,arquebus with hail shot;arquebus;pistol;arquebus,,,,,,
045v,45v,p045v_1,arms and armor,Loading an arquebus,,,,,,powder;powder;filth,,,,,,,,,screw;nut;ramrod;nut;ramrod;ramrod;little ramrod,,arquebus;arquebus;arquebus;arquebus;arquebus;arquebus;barrel;arquebus,,,,,,
045v,45v,p045v_2,arms and armor,For adjusting a crooked cannon,,,,,,plumb,,,,,,,,,smooth & well-leveled table;very smooth string without knots;plumb;string;hammer,,cannon;barrel,,,,,,
046r,46r,p046r_1,medicine,"For the teeth, oil of sulfur",,teeth;teeth;mouth,,,,oil of sulfur;aquafortis;oil of sulfur;clove oil;rose honey;oil of sulfur;cotton;oils;tepid water;Oil of sulfur;clove oil;rose honey,For the teeth;whiten;this corrupts them afterward & causes a blackness on them;penetrates & is corrosive,walnut shell;drops,,clove;walnut;clove,,,,,walnut shell;small burin,,,,,,,,
046r,46r,p046r_2,medicine,Wheat oil,,,,,,Wheat oil,"Applied to hair, it makes it fall out & keeps it from being born.",,,Wheat,,,,,,,,,,,,,
046r,46r,p046r_3,medicine,Against the falling sickness,crow,,,,,fresh crow eggs;powdered gentian;oil of sulfur,Against the falling sickness;the pain will not return,space of 4 or five mornings;drop,,gentian,,,,,,mornings,,,,,,,
046r,46r,p046r_4,medicine,Against cold gouts,,,,,,Oil of guaiac & of sulfur,Against cold gouts,,,guaiac,,,,,,,,,,,,,
046r,46r,p046r_5,cultivation,Go Flowers of trees,,,,,,,,,,,,,,,,with every<-es-> new ☾,,,,,,,
046v,46v,p046v_1,corrosives,"Scribe, oil of sulfur",,,,,,oil of sulfur;ink;oil of sulfur,,,,,,,Scribe;scribe,,quill,,,,,,,,
046v,46v,p046v_2,corrosives;decorative,Shoemaker,,,,,,black leather;oil of sulfur,,,,,,,Shoemaker,,writing quill,,,,,,,,
046v,46v,p046v_3,corrosives,Erasing a letter,,,,,,fresh & good oil of sulfur;parchment,,,,,,,,,writing quill;quill,,,,,,,,
046r,46r,p046v_4,corrosives,Writing without ink,,,,,,ink;oil of sulfur,,,,,,,,,,,,,,,,,
046v,46v,p046v_5,corrosives,Making a letter à jour on paper and other work,,,,,,paper;paper,,,,,,,,,sponge;quill,,,,,,,,
046v,46v,p046v_6,corrosives,Making someone’s boots burn,,,,,,oil,,,,,,,,,,,,,,,,,
046v,46v,p046v_7,corrosives;stones,"On stone, black letters",,,,,,stone;oil;stone,,,,,,,,,,,,,,,,,
047r,47r,p047r_1,medicine,For teeth,,teeth;tooth,,,,Sal ammoniac;rock salt;alum;water;rose honey;cinnamon or clove oil,For teeth;the tartar & blackness will go away,℥;℥;half an ℥,,cinnamon;clove,,,,bad odor,retort,,,,,,,,
047r,47r,p047r_2,metal process,Antimony oil,,,,,,Antimony oil;silver,,,,,,,,,,,,,,,,,
047r,47r,p047r_3,medicine,Against falling sickness or vertigo,,neck,,,,root of peony,Against falling sickness or vertigo,,,peony,,,,,,at the waning of the moon,,,,,,,
047r,47r,p047r_4,metal process,Crucibles,,,,,,grès;charcoal;gold;silver;silver;residue,,,,,Bayonne,,,,,,,,,,,,
047r,47r,p047r_5,medicine,Against diarrhea and dysentery,beef,temples;hollow of the hands;soles of the feet,,,,preserve of symphytum;consolida maior;wax oil;broth;root of consolida maior;beef,Against diarrhea;dysentery;Against diarrhea;against dysentery,drop;spoonful,,symphytum;consolida maior;consolida maior,,,,,spoonful;pestled,,,,,,symphytum;consolida maior;consolida maior,,
047v,47v,p047v_1,tricks and sleight of hand,A drink having a taste of wine,,,,,,wine;tartar from large vessels;water;wine,,,,,,,,taste;taste,,,,,,,,,
047v,47v,p047v_2,metal process,Founding,,,,,,metal;copper;potin;copper;latten;candlestick latten;basin latten;latten;latten;lead;smoke;rosette;latten;metal;glass;metal;lute;earth;pestled glass,,half;half;part;part;part;part,,,,,glassmakers,,mold;crucibles for melting metal;those for glassmakers;lute;crucibles;pestled,,,,,,,crucibles;crucibles,
047v,47v,p047v_3,metal process,Crucibles,,,,,humid weather,luted,,,,,,,founders,,Crucibles;luted,in winter;humid weather,,,,,,,
047v,47v,p047v_4,casting,Casting,,,,,,calcined pumice stone;gold;metal,,carat,,,,,,,,,,,,,,,
048r,48r,p048r_1,metal process,Founder,,,,,,metal,,,,,,,Founder,,furnace,,,,,,,,
048r,48r,p048r_2,medicine,Curing dogs of mange,dogs,,,,,"pill of precipitate,;food",Curing dogs of mange,grains;week;days,,,,,,,,week;days,,,,,,,
048r,48r,p048r_3,household and daily life,Excellent mustard,,,,,,Excellent mustard;bread;cloves;cinnamon;good wine;tammy cloth;mustard seed,,,,mustard;cloves;cinnamon;mustard,,,,,oven;tammy cloth;pestled,,,,,,,,
048r,48r,p048r_4,preserving,Keeping birds and animals,birds;birds;birds,,,,,canvas;cotton;skin;canvas;sal ammoniac;[illegible],,,,,,,,,canvas;mold made of canvas;oven,,,,,,,,
048v,48v,p048v_1,metal process,Extraction of regulus,,back,,,,Extraction of regulus;antimony;black soap;tartar from Montpellier;wood;iron;soap;regulus;antimony;antimony;saltpeter;pulverized tartar,fumes,lb;half a lb;half a lb;a third;as much of one as of the other,,,Montpellier,,,,varnished earthenware pot;pick of wood or iron;tile;flat tile;pot;crucible,,,,,,,crucible,
048v,48v,p048v_2,metal process;casting,"Lead, tin",,,,,,Lead;tin;tin;lead;tin;antimony;looking-glass tin;fine tin;looking-glass tin;fine tin;red & soft cauldron copper;latten;fine & soft tin;brittle tin;stone;copper;copper;lead;soft tin;Sandiver;metals;water;Soft tin;brittle one;tin;lead;marble;square tile;lead;tin;tin;lead;Common tin;lead,,lb;quintal;lb;lb;quarters;lb,,,,,Pewterers;pewterers,,stone molds;copper mold;mold;marble;square tile,long time,,,,,,,
049r,49r,p049r_1,casting,Casting of lead,oyster,,,,churches,Casting of lead;tin;lead;stone;tin;lead;smoke;resin candle;antimony;looking-glass tin;tin;pure lead;lead;copper;lead;glass;resin;lead;tin;Looking-glass tin ;solder;iron;Calcined <-iron-> oyster shell,,lb;half;half;quarter,,,,Poncet,Pewterers;pewterers;glassworkers,,molds;resin candle;puncheon;copper mold,,,,,,,,
049r,49r,p049r_2,casting,Sand for lead casting,,,,,,Sand for lead casting;lead;Rye straw ashes;glair of egg;copper;latten,,,,Rye,,,,,sieved,,,,,,,,
049r,49r,p049r_3,casting,Another,cuttlefish,,,,,Burnt & calcined pumice stone;Burnt & calcined cuttlefish bones;ashes of walnut tree or vine;glair of egg,,as much of one as of the other,,walnut tree;vine,,,,,sieved,,,,,,,,
049r,49r,p049r_4,metal process,Pewterers,,,,,,fine tin;looking-glass tin;tin;tin;lead;tin;copper;stone;earth;latten;tin;tin;tin;resin candles;Brittle <-dou-> tin,,quintal;lb,,,,,Pewterers,,"tin molds;copper molds engraved with a burin, or in stone, or in earth;burin;molds;tin molds;resin candles",,,,,,,,
049v,49v,p049v_1,animal husbandry,Birds,Birds;Calandra larks;birds;calandra larks;calandra lark,,,,,river sand,,,,,,St. Michael,,,pin;quite pointy feather,before St. Michael,,,,,,,
049v,49v,p049v_2,metal process,Grain of lead,,fingers,,,,lead;water;lead;lead,,fingers;paces,,,,,,,playing card;pin;needle;cleft stick;stick;card;dish;vessel;card;stick;sieve,,,,,,,,
049v,49v,p049v_3,animal husbandry,Birds,Birds;Ortolans;turtledoves;Siskins;Ortolans,,,,mountains,,,from All Saints’ Day until Christmas,,oats;millet,,St. Michael;St. Michael,,,,at St. Michael;March;all summer;at night;after mid-July until St. Michael;from All Saints’ Day until Christmas,,,,,,Ortolans;Ortolans,
050r,50r,p050r_1,preserving;cultivation,Keeping fruit for the entire year,,hand,,,"in a room where there is not a drop of air & of wind;well-closed room, where neither wind nor air may enter;in a cellar;deep well;cellar",glass;hot water;water;new wax;waxed canvas;fruit;lute;lute;quicklime;oil;water;water;water of the vat;water;river water,,for the space of two hours,,cherries;plums,,,,,glass ampul;quite even <-&-> table;ampul;bottle;bottle;stopper;lute;lute;bottles;vat full of water;bottles;basket;weights,for the entire year;for the space of two hours;on a warm & dry day;during the summer;in the winter;in the winter,,,,,,,vat;vat
050r,50r,p050r_2,casting,Molding,,,,,,paper;paper;paper;oil;paper;tallow;wax;sulfur;paper;plaster;tripoli;lead;metal;carton;paper,,,,,,,,,paper;medal;paper;medal;stick;paper;stick;paintbrush;paper;paper;carton;paper,,,,,,,,
050v,50v,p050v_1,animal husbandry,Small birds,Small birds;Ortolans;Chaffinches;Goldfinches;passe solitaire;spider;calandra;Young small birds;cuckoo;ortolans;verdaule;bird;goldfinches;linnet,,,,in the serain;gardens,spider;dry mortar;lime;sand;dry mortar;almonds;pith;bread pith;lettuce seed;hemp seed;rapeseed,,once a week,,lettuce;lettuces;hemp;almonds;ettuce;hemp;rapeseed,,,,,lime-twigs;cages;pestle,at night;beginning of August;once a week;after several days,,,,,,Ortolans;ortolans,
050v,50v,p050v_2,tool,Curried steel and files,,,,,forges of Foix;mine,steel;steel;iron;molten iron;iron bars;steel;common iron;strong iron;purified steel;steel;water;water;fine steel;iron;the finest steel;strong iron;steel;very soft iron;steel;bitumen,,small beads,,,Germany;Biscay;Foix;Germany;Biscaye;Germans;Levantines,,farriers;iron workers;workers,,files;files;pot,,,,,,,,
051r,51r,p051r_1,printing,Counterproofing,,,,,,soap water;white paper;glass;oil;paper;spike lavender <-&-> or turpentine oil;paper;oil;paper;paper;soap water;well-gummed water;gummed water;soap,,,,spike lavender,,,,,tooth;bottom of a glass;paintbrush;quill;burnisher,,,,,,,,
051r,51r,p051r_2,printing,Cutters of printing plates,,fingertip;bare hand;urine,,,open space;place where the flame cannot cause damage,copper;good lye;wash water;ink;linseed oil;walnut oil;copper;wood;wood;wood;wood;wood;paper;glass;noir d’escaille;ink;copper;cartons;pastes;lye;walnut oil;linseed oil;garlic;bread crusts;lampblack;marble;oil;ink;white paper;paper;linen;ink;Linseed oil;varnish;tartar;non-boiled linseed oil;walnut oil;black;lamp smoke;black moderately thick;lye;white paper;paper;paper;paper;felt;paper;sheet;paper;felt;ink;ink;lye;urine,,good hours;part,,linseed;walnut;walnut;linseed;garlic;Linseed;linseed;walnut,,,Cutters of printing plates;printers,,printing plates;copper plates;rollers;copper plates;wood blocks;wood block;moist handkerchief;copper plates;rollers;plates;linen;pot;marble;plate;plates;piece of white paper;paper;plates;linen cloth;fingertip;plate;piece of white paper;paper;piece of paper;plate;piece of paper;small even table;piece of felt;sheets of paper;wet napkins;plate;paper; felt;rollers;plate;plate;rollers,good hours;long time;long time,,,,,,,
052r,52r,p052r_1,cultivation;alchemy,The work done in Algiers,colt;horses;female silkworm seeds;worms;worms;snake,urine;finger;fingers;mouth,,,"warm & close place;from the ceiling, where the air <-or-> & sun dry it",rye;barley;straw;good fountain or river water;water of sulfurous baths;fenugreek;dung;dung;urine;glass;earthen;chicken eggs;yolk;glair;germ;yolks;egg yolks;eggs;female silkworm seeds;luted;dung;dung;dung;egg yolk;gold leaf;egg yolk;gold leaf;egg yolk;charcoal;lute;good vinegar;linen;silk;molten ♁;finer ☉ than the other one;oldest ♁;honey;vinegar,its exhalation would be dangerous,finger;capacity of one pitcher or earthen jug;half an ounce;half a lb;empan;fingers;lb;empan;℥;lb,,fenugreek,Algiers;Spain;Algiers,St. John;St. John,worker,, large glass mattras;pitcher or earthen jug;luted;mattras;mattras;bottle;lute;bottle;pincers;mortar,"Around the feast of St. John;at regular intervals, day & night;hour;months;weeks;months;from the feast of St. John  until the 25th of April",,,,,,,
052v,52v,p052v_1,cultivation,Linseed,,,,,,,,,,Linseed,,,,,,,,,,,,,
052v,52v,p052v_2,painting,Colors,,,,,,gum;white wine;tragacanth gum;tragacanth;white salt;clear water;white wine,,,,,,,illumination,,bottle;stoppered;bottle,,,,,,,,
053r,53r,p053r_1,tool,Soldering a vise,,,,,,Soldering;solder;iron strip,,,,,,,,,vise;vise;nut;bolt;bolt;hammer;bolt,,,,,,,vise;vise,
053r,53r,p053r_2,metal process,Copper,,,,,,Copper;iron;iron,,,,,,,,,,,,,,,,,
053r,53r,p053r_3,casting,Casting of lead,cuttlefish,,,,,lead;tin;lead;sublimate;cuttlefish bone,,half;half,,,,,,,cuttlefish bone,,,,,,,,
053r,53r,p053r_4,casting,Molding with paper,,,,,,paper;ashes;cotton;aquafortis;sal ammoniac;aqua regia;cotton;gummed water,,,,,,,,,,,,,,,,,
053r,53r,p053r_5,cultivation,"Almond trees, apricots",,,,,,,,,,Almond trees;apricots;pavis;mericotons;alberges;apricots;almond tree,,,,,,,,,,,,,
053r,53r,p053r_6,casting,Casting of lead and copper,horse;oxen;sheep,,,,,lead;copper;Lead;tin;white chalk;The one from Champaigne;Burnt & calcined horse bones;marrow from the horns of oxen;sheep;spongy bone;bone;brittle metal comes out better than the fatty;lean sand;dense one,,,,,Champaigne;Lyon,,,,,,,,,,,,
053v,53v,p053v_1,cultivation;animal husbandry,Silkworms,Silkworms;worms;worms;worms;black ants;bombicum;worms;worms;pigeon;worms;worm;butterfly,hand;fingernail;ring finger,s,,"room accomodated with three or 4 levels of large shelves;thunder or rainy weather, cloud-covered & cool;room;room;weather is warm & serain",silk;silk;silk;white mulberry leaves;fresh leaves;incense;smoke;silk;hot water;ferret-silk;floret;silk;silk,,ounce;lb;ounce;lb;ounce;ounce;ounces;times per day;days;size of a pigeon egg;weeks;by half;as long as a ring finger;shorter by half;weeks;until Holy Week,,fir;white mulberry;heath;heather;heath,Languedoc;Spain;Spain;France;Albensis;Cremonensis,Hieronymus Vida Albensis ep{iscop}us <-de b-> Cremonensis;St. John,merchants,,fir box;feather cushions;shelves;chafing dishes <-&-> with glowing charcoal;hand;high shelves;fingernail;white linen,around Holy Week;per day;during the day;from their birth until u the <-their-> time when they make their cocoons & their prisons;days;days;Around Pentecost;weeks;weeks;around St. John’s Day;until Holy Week,,,,,Hieronymus Vida Albensis ep{iscop}us <-de b-> Cremonensis scripsit carmine de bombicum natura,,
054v,54v,p054v_1,preserving,[On dry preserves],,,,,,,,,,,,,,,tub;sticks;sieve made of strings;vessels;tub;chafing-dish;tub;bedsheet,,,,,,,,
054v,54v,p054v_2,animal husbandry,For making a horse follow,horse,,,,,sweet bread,,,,,,,,,,,,,,,,,
054v,54v,p054v_3,household and daily life,Dogs,Dogs,,,,,resin balls;balls,,,,,,,shoemakers,,,,,,,,,,
054v,54v,p054v_4,tricks and sleight of hand;animal husbandry,For disguising a horse,horse,,,,,lit hay,,,,,,,,,lit hay,,,,,,,,
054v,54v,p054v_5,household and daily life,Boots of hay,,legs,,,rain,hay;hay,,,,,,,,,,,,,,,,,
055r,55r,p055r_1,arms and armor,For firing a schioppo senza rumore,pork,joint of the little finger,,,,porkfat,,joint of the little finger,,,,,,little whistle,socket;ramrod,,schioppo,,,schioppo senza rumore,,,
055r,55r,p055r_2,arms and armor,For tempering a ball that will pierce and will make healing difficult,,,,,,fat;strong vinegar,will make healing difficult,,,,,,,,,,,,,,,,
055r,55r,p055r_3,medicine,Against wounds,chicken;dog,,,,,sap;pestled herb which is called semperviva;vermicularis,Against wounds;it will not die,,,semperviva;vermicularis,,,,,pestled,,,,,,semperviva;vermicularis,,
055r,55r,p055r_4,medicine,Onenev elbirro hcihw sllik fi     eno spets no a draob ro a ueirse purrits ,snails;horse;snails,,,,in the very strong sun & in the serain;running river;tree or a plant that is on the bank,glass;egg yolks;good vinegar;horsedung;egg yolks,Onenev elbirro;hcihw sllik fi     eno spets no a draob ro a <-ueirse-> purrits,space of fifteen days;days,,,,,,,glass bottle;bottle;long stick,in the month of June & July;space of fifteen days;days,,,,Onenev elbirro,,,
055v,55v,p055v_1,medicine;metal process,Another for waters,Daot,,,,,waters;quicklime,,,,,,,,,top,,,,,,,,
055v,55v,p055v_2,metal process,Damascus steel,earthworms,,,,,Damascus steel;earthworms;horseradish leaf;waters,,as much of one as of the other,,horseradish,,,,,,,,,,,,,
055v,55v,p055v_3,household and daily life,For knowing the course one takes on the open sea,,,,,open sea;water;water,ferlin;oil;water;water;oil,,leagues,,,,,,,,,,,,,,,
055v,55v,p055v_4,casting,For casting,,,,,quarry,Chalk;lead;pumice;water;Lead;tin;tin;lead;tin,,parts,,,,,,,pestling;sieve,,,,,,,,
056r,56r,p056r_1,metal process,Excellent tempering bath for cuirass bodies,pigeon;horse,handfuls,,,,river water;weld;water;salt;river water;fatty red earth;water;pigeon dung;earth;horse dung;iron filings,,pecks;big cauldron;double handfuls;as much pigeon dung as the said earth;as much horse dung;as much iron filings;days,,weld,,,,,stick;muid;vessel;big cauldron;cauldron;cauldron;muid,days,cuirass,,,,,,
056r,56r,p056r_2,varnish,Varnish for distemper,,,,,,Varnish;distemper;marble;distemper;lake;rose of Ghent;chalk;lake;wine;glue;varnish;varnish;clear Venice turpentine;spike lavender oil;distemper;turpentine varnish;Pure spike lavender oil varnish;spike lavender oil,,,,spike lavender;spike lavender;spike lavender,Ghent;Venice,,,,,long ago,,,,,,,
056v,56v,p056v_1,painting;varnish,Painter,,,,,workshop;dung heap,lake;florey;rosette of Ghent;marble;Chalk;oil;Ceruse;lead white;Ceruse;water;lead white;oil;Florey;azur d’esmail;ivory;knots of the fir tree;pear tree;walnut tree;wood;wood;oil;stil de grain yellow;ceruse;oil;azur d’esmail;oil;water;water;azure;oil;distemper;distemper;oil;distemper;canvas;Lake;oil;glass;cristallin;cold water;water;lead white;Lead white;plate lead;dung;White varnish of turpentine or of spike lavender oil and turpentine;turpentine;spike lavender oil;turpentine;pulverized terra emerita;silver;Aloe;lake;saliva;printers’ ink;velvet;gold leaf;velvet;gold powder;Vermilion;lake;marbles;common ashes;oil;wood;chalk;chalk;chalk;wood;ceruse;oil;canvas;ashes;pith of coarse bread;marble,,,,fir tree;pear tree;walnut tree;spike lavender;Aloe,Ghent;Italians;Flemish;Florence,,The one who makes a profession of working in oil;printers,,marble;knife;palettes;feather;paintbrush;knife;paintbrush;paintbrush;paintbrush;paintbrush;dung heap;marbles;vessel;paintbrush;knife;marble,quarter of an hour;a quarter of an hour;in winter;summer,,,,,,,prick
057v,57v,p057v_1,arms and armor,Sheath maker,lambs;goats,,,,humid places,"small, very delicate skins of lambs and young goats;parchment;fine fatty earth;earth;earth;leather;leather;copperas black;iron scale;dye;leather;glues;canvas;strong glue;iron",,size of a pea,,pea,,,Sheath maker;Sheath makers;tanners,,small even board;press;hot iron,long time,,,,,,,
057v,57v,p057v_2,painting,Painter,,cheeks;cheeks;urine,,,humid weather,crayons;glue;women’s milk;carton;thoroughly thinned and clear melted resin;copper;oil;lead white;ceruse;walnut oil;almond oil;walnuts’ skin;oil;lead white;ceruse;lead white;Florence lake;lake;purple;alum;Florence lake;cotton;fabric of Cambray;lake;cotton;Cristallin;water;oil;lake;asphaltum;Spike lavender oil;lead white;walnut oil;spike lavender oil;lake;Verdigris;orpiment;urine;oil,"ladies, wanting to color their cheeks",,,walnut;almond;walnuts;Spike lavender;walnut;spike lavender,Venice;Flemish;Florence;Flanders;Florence;Florence;Cambray,,Painter,,crayons;cotton;fabric of Cambray;cotton,year;months;very long time,,,,,,,
058v,58v,p058v_1,painting,Blacks,oxen,,,,,Black of charcoal from the mines;ordinary charcoal;burnt ivory;peach pits;lamp smoke;burnt bones of the feet of oxen,,,,peach,,,,,,,,,,,,,
058v,58v,p058v_2,painting,Shadows,,,,,,,,,,,,,,,,,,,,,,,
058v,58v,p058v_3,painting,In fresco,,,,,,Azure;wood,,,,,,,,,paintbrushes,,,,,,,,
058v,58v,p058v_4,painting,Azure,,,sous,,,Azure;Turpentine oil;palma christi seed oil;Walnut oil;azure;fatty oil;Azur d’esmail;water;water;oil,,pint,,palma christi;Walnut,Flanders,,,,,,,,,,palma christi,,
058v,58v,p058v_5,painting,Paintbrushes,porcupine;squirrel;rats;dormice;beech martens;weasels,hand,,,,spike lavender oil;walnut oil;Walnut oil;spike lavender;water;walnut oil;porcupine quills;wood of arrows from Turkey;wood;squirrel’s tail hair;bristles of the oldest rats;quill;hairs;bristles of beech martens & weasels & small animals that make musk;musk;hair;Lake;lead white;ceruse;oil;azure;azure;ash;azur d’Acre;azur d’esmail;turpentine;lead white;azure;walnut oil;turpentine oil;oil,,,,spike lavender;walnut;Walnut;spike lavender;walnut;walnut,Turkey;Acre,,,,Paintbrushes;handle of paintbrushes;small rods to rest their hand when they are painting;very thin paintbrushes which have a firm point;paintbrush;quill;paintbrush;paintbrush;paintbrush;palette;knife point;palette,,,,,,,,
059r,59r,p059r_1,painting,Shadows,,,,,,varnish,,,,,Italians,,,,,,,,,,,,
059r,59r,p059r_2,varnish;painting,Azure,,,,,,Azure;Azure;walnut oil;spike lavender oil;Azur d’esmail;oil;oil;water,,,,walnut;spike lavender,,,,,paintbrush,,,,,,,,
059v,59v,p059v_1,painting,Black Painting of armor,,,,,,Charcoal black;lead white;azure;Charcoal black,,,,,,,,,,,,,,,,,
059v,59v,p059v_2,painting,Painting of crêpe,,,,,,crêpe;charcoal black;lead white;azure;lead white,,,,,,,,,,,,,,,,,
059v,59v,p059v_3,painting,Folds in clothing,,,,,,thick cloth;taffetas;silk cloth;crêpe,,,,,,,,,,,,,,,,,
059v,59v,p059v_4,painting,Desiccative,,,,,,Lead white;massicot;oil;lead white,,days;day,,,,,,,,days;day,,,,,,,
059v,59v,p059v_5,painting,Double layers,,,,,,Azures,,,,,,,,,,,,,,,,,
059v,59v,p059v_6,painting,Mending the cracks in a panel,,,,,in humid weather;in the sun,glue;glue;oil;white wax;oil;wax;wax;oil;oil;wax;oil,,,,,,,,,tip of a knife,,,,,,,,
060r,60r,p060r_1,painting,First whitening of a panel,,,,,,chalk;distemper glue;glue,,,,,Flemish,,painters,,paintbrush;brush;knife,,,,,,,,
060r,60r,p060r_2,painting,Neat work,,,,,,,,,,,,,,,,,,,,,,,
060r,60r,p060r_3,painting;varnish,Oil,,,,,exposed to the sun,Oil;Walnut oil;peeled almonds;palmachristi;oil;oil;Fatty oil;varnish;oil;common varnish;Oils;Oil;ceruse;lead filings;lead white;calcined pulverized <-p-> glass;clear water;oil,,,,Walnut;almonds;palmachristi,,,,,vial,,,,,,palmachristi,,
060v,60v,p060v_1,varnish,Varnish dry in an hour,,,,,in the wind,"Varnish;white turpentine oil;turpentine;mastic, pulverized & passed delicately through a sieve;eau-de-vie;mastic;turpentine;white turpentine oil;mastic pulverized;turpentine",,hour;liards';hour,,,,,,,sieve;stick;knife,hour;hour,,,,,,,
